"Extension:","Модуль:"
"Disable","Отключить"
"Disabled","Отключено"
"Access by security token is disabled, you can enable access in the <a href='%s' target='_blank'>module settings</a>.","Функция доступа по токену отключена. Вы можете включить доступ в <a href='%s' target='_blank'>настройках модуля</a>."
"Token expired!","Срок действия токена истёк!"
"You can change Token Access settings in the <a href='%s' target='_blank'>module settings</a>.","Вы можете изменить параметры доступа по токену в <a href='%s' target='_blank'>настройках модуля</a>."
"%s (hours)","%s (часов)"
"Use this link to access the site from the blocked IP addresses. Note the token and cookie lifetimes.","Используйте эту ссылку для получения доступа к сайту с заблокированного IP адреса. Обратите внимание на срок действия токена и срок действия cookie."
"Use this link to access the site administration panel from the blocked IP addresses. Note the token and cookie lifetimes.","Используйте эту ссылку для получения доступа к панели администрирования сайта с заблокированного IP адреса. Обратите внимание на срок действия токена и срок действия cookie."
"Access link to Admin page","Ссылка доступа в панель администрирования"
"Access link create time","Время создания ссылки доступа"

"Measured in days. After this time the access link will not be available. The countdown starts from access link create time.","Измеряется в днях. По истечении указанного времени ссылка доступа перестанет действовать. Отсчёт идёт с момента создания ссылки доступа."
"Cookie lifetime","Срок действия cookie"
"Measured in hours. The countdown starts from the last page visit by the access link or the last action on the site after using the access link. After this time, access to the site from the banned IP addresses will not be possible without re-entering access link.","Измеряется в часах. Отсчёт идёт с момента входа на сайт по ссылке доступа или последнего действия на сайте после захода по ссылке. По истечении указанного времени доступ к сайту с запрещённого IP адреса будет невозможен без повторного использования ссылки доступа."
"Notify when Access Link is used","Оповестить при использовании ссылки доступа"
"Yes - the notification will be sent on any attempt to use the access link. No - the notification will be sent only on a successful attempt.","Да - оповещение будет отсылаться при любой попытке использования ссылки доступа. Нет - оповещение будет отсылаться только при успешном попадании на сайт."
"Email for notification","Email для оповещений"
"Authentication success email template","Email Шаблон успешной аутентификации"
"Authentication fail email template","Email Шаблон неудачной аутентификации"
"Event","Событие"
"Login by token success","Успешная аутентификация с помощью токена."
"Login by token fail","Неудачная аутентификация с помощью токена."
